id,user_id,name,content,start_date,finish_date,reducation_time,reducation_amount,total_amount,number_of_month,job_id,status
1,1,経費申請書式の電子化,経費申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、月60時間短縮されます,2020/1/1,2020/1/1,600,600,0,3,13,1
2,2,実験手順の見直し,旧商品の作業手順書を見直し、不要な手順を削減しました。これにより、月5回×20分短縮できます。,2020/3/1,2020/5/1,3,3,0,5,5,1
3,3,業務用プログラムの作成,SEに依頼し、業務用のプログラムを作成してもらいました。今まで、毎月30時間かけていたexcelファイルを１クリックで済むようになりました。,2020/6/1,2020/7/1,600,600,0,1,3,1
4,4,書式の判子欄をなくしました。,書式の判子欄をなくし、サインで可能にしました。これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。,2020/6/1,2020/7/1,300,600,0,2,1,1
5,5,申請書式の電子化,"""申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。""",2020/6/1,2020/7/1,20,600,0,3,3,2
6,6,経費申請書式の電子化,経費申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、月60時間短縮されます,2020/6/1,2020/7/1,50,600,0,4,2,1
7,7,実験手順の見直し,旧商品の作業手順書を見直し、不要な手順を削減しました。これにより、月5回×20分短縮できます。,2020/6/1,2020/7/1,100,600,0,5,2,1
8,8,業務用プログラムの作成,SEに依頼し、業務用のプログラムを作成してもらいました。今まで、毎月30時間かけていたexcelファイルを１クリックで済むようになりました。,2020/6/1,2020/7/1,400,600,0,6,5,1
9,9,書式の判子欄をなくしました。,書式の判子欄をなくし、サインで可能にしました。これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。,2020/6/1,2020/7/1,600,600,0,7,12,3
10,10,申請書式の電子化,申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。,2020/6/1,2020/7/1,2,600,0,8,5,1
11,11,経費申請書式の電子化,経費申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、月60時間短縮されます,2020/6/1,2020/7/1,20,600,0,9,3,3
12,12,実験手順の見直し,旧商品の作業手順書を見直し、不要な手順を削減しました。これにより、月5回×20分短縮できます。,2020/6/1,2020/7/1,400,600,0,2,1,1
13,13,業務用プログラムの作成,SEに依頼し、業務用のプログラムを作成してもらいました。今まで、毎月30時間かけていたexcelファイルを１クリックで済むようになりました。,2020/6/1,2020/7/1,600,600,0,3,3,1
14,14,書式の判子欄をなくしました。,書式の判子欄をなくし、サインで可能にしました。これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。,2020/6/1,2020/7/1,4,600,0,1,2,1
15,15,申請書式の電子化,申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、これにより、月10回押していた押印や承認、回覧がなくなり、月１時間程度の削減ができる見込みです。,2020/6/1,2020/7/1,600,600,0,3,2,1
16,16,経費申請書式の電子化,経費申請書式を電子化しました1回10分短縮になり、月3回×社員20人の利用があるため、月60時間短縮されます。,2020/6/1,2020/7/1,640,600,0,4,5,1
